P36-DIP	59700.5923	51896.93313	1605	0	0	-2426.007396
P37-DIP	65734.24575	44005.242	1605	0	0	-2551.671361
P38-DIP	70731.23083	35419.56195	1605	0	0	-2677.335338
P39-DIP	74612.7422	26275.29428	1605	0	0	-2802.998829
P40-DIP	77317.56605	16716.64945	1605	0	0	-2928.662587
P41-DIP	78803.04568	6894.37315	1605	0	0	-3054.326133
P42-DIP	79045.7542	-3036.631575	1605	0	0	3103.195571
P43-DIP	78041.86398	-12919.74678	1605	0	0	2977.531433
P44-DIP	75807.2069	-22599.1099	1605	0	0	2851.867961
P45-DIP	72377.0249	-31922.07153	1605	0	0	2726.204218
P46-DIP	67805.41405	-40741.60305	1605	0	0	2600.540795
P47-DIP	62164.4712	-48918.61515	1605	0	0	2474.876951
P50-DIP	39790.92028	-68367.6462	1605	0	0	2097.885689
P48-DIP	55543.15755	-56324.15143	1605	0	0	2349.212952
P49-DIP	48045.89518	-62841.4222	1605	0	0	2223.549281
